,Title,Author,Category,Subcategory,Sub-Subcategory,Sub-Sub-Subcategory,Pages,Cover Type,Production_Year,ISBN,Translator,Format,Availability,Price,Description
429,Богородице Діво. Молитва дівчинки,,Для дітей,Дошкільна,,,8,тверда,2018,,,100х120,Є в наявності,50.00грн.,"Кольорова книжечка, яка допоможе дівчинці навчитися молитві ""Богородице Діво""."
430,Богородице Діво. Молитва хлопчика,,Для дітей,Дошкільна,,,8,тверда,2018,,,100х120,Є в наявності,50.00грн.,"Кольорова книжечка, яка допоможе хлопчику навчитися молитві ""Богородице Діво""."
431,"Боже, Ти є. Пояснення псалмів для дітей",Вільям Р. Осборн,,,,,48,тверда,2025,978-966-938-819-3,Софія Пецюх,185х205,Є в наявності,270.00грн.,"Серед дитячих релігійних книжок дуже багато тих, які пояснюють дітям Святе Письмо. Натомість дуже рідко зустрічаємо видання, метою яких є донести для найменших читачів красу, мудрість та значення Псалмів. Саме у цій книжці пастор і батько чотирьох дітей Вільям Р. Осборн пропонує короткі пояснення Псалмів на основі 20 тверджень «Боже, Ти є», які допомагають дітям зрозуміти о́брази, змальовані в цих уривках. Після кожного біблійного вірша автор подає молитву, яку сімʼї можуть молитися разом під час читання. Використовуючи зрозумілий і легкий стиль розповіді, Осборн наче наживо спілкується з юними читачами про Божу доброту, справедливість, милосердя, описані в Книзі Псалмів."
432,"Боже, як жити зі складними людьми і не збожеволіти",Грегорі К. Попкек,Психологія,Популярна психологія,,,224,м'яка,2020,878-966-938-377-8,Остап Гладкий,120х200,Є в наявності,220.00грн.,"Трапляються такі дні, коли ми думаємо, що люди навколо нас роблять усе можливе, аби зробити наше життя нестерпним. Чоловік чи дружина доводять нас до кипіння, діти зводять з розуму, керівник на роботі знущається - жодного промінчика надії. Як нам гідно виходити з таких ситуацій?
Цей практичний посібник навчить вас, як давати собі раду зі складними людьми. Дізнаєтеся, як знайти душевний мир навіть у складних ситуаціях, а за допомогою методик, описаних у цій книзі, навчитеся встановлювати межі і покращувати стосунки з тими людьми, яких намагаєтесь оминати."
433,Божественна Літургія Йоана Золотоустого (служебник),,Богослужбові книги,Літургійні книги,,,94,тверда,2019,,,150х210,Є в наявності,250.00грн.,"Це текст Літургії, виданий з благолосвення Патріярха Йосифа Сліпого у Римі в 1968 році.  У видання увійшли чин священної і Божественної Літургії, Божественна Літургія святого отця Йоана Золотоустого, молитви після Святого Причастя і відпусти на Літургії."
434,Божий порадник антидепресивний: вийти з духовної депресії,Аркадіуш Лодзевський,"Віра, практичне християнство",Віра і соціяльні проблеми,,,88,м'яка,2021,978-617-7510-60-3,Василь Єфремчук,60x84,Є в наявності,80.00грн.,"Депресія є чи не найпоширенішим психічним розладом, який має у сучасному світі чітку тенденцію до розвитку. Це видання покликане допомогти людям, які цього потребують, вийти із загрозливого стану депресії, звертаючись до Бога та Його слова. Також воно має профілактичну антидепресивну дію, тому буде корисним для кожного, хто шукає сенс життя у будь-якому віці."
435,Божий порадник відновлення радості: вийти з неволі смутку,Аркадіуш Лодзевський,"Віра, практичне християнство",Віра і соціяльні проблеми,,,128,мʼяка,2022,978-966-938-541-3,,110х155,Є в наявності,80.00грн.,"Чи знаєш ти, якою буває радість? Ні, не та, яка накриває, мов хвиля, має дихання, позбавляє контролю над емоціями, а зовсім інша - така, яка не проминає і приносить мир. Така, що визволяє зі смутку назавжди. Чи це можливо? Можливо. ПОВІР!
Ця книжка дасть тобі багато підказок. А, можливо, як і два попередні порадники, стане покроковою інструкцією на шляху до омріяного щастя. Тож не варто сидіти в смутку. ПОВІР!"
436,Божий порадник духовної боротьби: вийди з неволі негативного мислення,Аркадіуш Лодзевський,Духовність,"Духовний ріст, духовна праця",,,152,м'яка,2023,978-617-792-140-9,,110х155,Є в наявності,100.00грн.,"Часто ми самі себе заганяємо в темницю, де панує морок та неспокій. А стіни тої темниці самі споруджуємо способом свого мислення. Ця книжка допоможе зруйнувати ці стіни та вийти на світло, до правдивого життя. Як саме це зробити?... Читай тут!"
437,Божий порадник перемоги над страхом: виграй духовний бій,Аркадіуш Лодзевський,Духовність,"Духовний ріст, духовна праця",,,132,мʼяка,2021,978-966-938-455-3,,110х150,Є в наявності,80.00грн.,"Страх паралізує волю. Не дозволяє діяти, рухатися вперед. Він стає справжньою вʼязницею, до якої людину засаджує диявол. Як вийти з неволі страху? Як повернути собі радість життя? Ця книжка є покроковою інструкцією для тих, хто ставить собі такі чи подібні запитання.
Видання допоможе віднайти впевненість і позбутися відчуття тривожності, відкриваючись на Божу любов. А тим читачам, які не потрапили у пастку страху, вміщені в книзі тексти допоможуть утвердити силу духа та впевненіше крокувати життям."
438,Божі заповіді та Євангельські блаженства,"о. д-р Богдан Тимчишин, с. д-р Луїза Цюпа (СНДМ), ліц. Назар Дуда, Андрій Козіброда",Духовність,"Духовний ріст, духовна праця",,,160,м'яка,2016,978-966-395-992-4,,160x230,Є в наявності,150.00грн.,"Божі заповіді та Євангельські блаженства. Катехуменат і катехизація дорослих в УГКЦ 3. Метою посібника є допомогти глибше осмислити основні засади вчення Церкви про Божі заповіді та Євангельські блаженства й застосувати їх у щоденному житті. Посібник опрацьовано згідно Програми катехуменату для дорослих в УГКЦ. Для молоді та дорослих, котрі прагнуть поглибити свої знання про головні заповіді любові, Десять Божих заповідей, Євангельські блаженства як норми життя людини та стосунків з Богом і ближніми."
439,Брати-сестри без суперництва,"Адель Фабер, Елейн Мазліш",Сім'я та виховання,Виховання дітей,,,196,м'яка,2023,978-966-938-644-1,,145х210,Є в наявності,250.00грн.,"Як діяти батькам, коли їхні діти чубляться і конфліктують? Як досягти бажаної згоди між ними? Батьки можуть або загострити боротьбу, або налагодити співпрацю. Їхні вчинки й слова мають велику силу. Автори цієї книжки радять, як опанувати своє роздратування, безпорадність, розпач та озброїтися новими методами й вміннями, що допоможуть жити дітям у злагоді. Практичні поради і життєві приклади, проілюстровані дотепними малюнками, стануть у пригоді усім тим, хто, виховуючи дітей, стикається із проблемою суперництва та конфліктів між ними."
440,"Брати-сестри без суперництва (Електронна книга: PDF, mobi, epub, fb2)","Адель Фабер, Елейн Мазліш",Електронні та аудіокниги,,,,196,,2023,978-966-938-901-5,,,Є в наявності,130.00грн.,"Як діяти батькам, коли їхні діти чубляться і конфліктують? Як досягти 
бажаної згоди між ними? Батьки можуть або загострити боротьбу, або 
налагодити співпрацю. Їхні вчинки й слова мають велику силу. Автори цієї
 книжки радять, як опанувати своє роздратування, безпорадність, розпач 
та озброїтися новими методами й вміннями, що допоможуть жити дітям у 
злагоді. Практичні поради і життєві приклади, проілюстровані дотепними 
малюнками, стануть у пригоді усім тим, хто, виховуючи дітей, стикається 
із проблемою суперництва та конфліктів між ними."
441,"Будиночок, що пахне евкаліптом",Горицвіт Тетяна,Для дітей,Молодший шкільний вік,,,58,тверда,2019,,,175х240,Є в наявності,190.00грн.,"Підступний торговець екзотичними тваринами викрав коаленятко та його маму з їхнього евкаліптового лісу, розлучивши з їхнім татком. Евкаліптові ведмеді були змушені поневірятися в неволі псевдо-еко-зоопарку. Але попереду на них чекало ще важче випробування: торговець надумав продати їх поодинці. За допомогою нових друзів коаленяткові вдалося вчасно втекти. Але чи зможе коаленя врятувати свою матір і повернутися назад, у свій евкаліптовий будиночок?Еко-казка для дітей дошкільного та молодшого шкільного віку про надію, дружбу та рідний дім.Будиночок, що пахне евкаліптом. Горицвіт Тетяна ,elbyjxjr oj gf[yt tdrfksgnjv ujhbwdsn ntnzyf"
442,"Будь там, де ти є",Штепан Смолен,Духовність,"Духовний ріст, духовна праця",,,200,м'яка,2021,978-966-938-452-2,Лідія Кіцила,130х200,Є в наявності,220.00грн.,"Ця книжка про мандрівку. Незаплановану, непередбачувану і від початку дивну. Юнак сідає у жовтий автобус і опиняється наодинці зі своїми розхристаними думками. Його несподіваний сусід стане для нього провідником, наведе лад у його голові і допоможе навчитися того, чого йому бракувало найбільше: постійності. Постійності думок, місця, постійності у покликанні й любові. Ця подорож розставить усе на свої місця у житті героя.Юнак перейде зі своїм супутником через піски пустелі, сахарську спеку і люті морози. Ця шалена пригода, яка стала книжкою, буде сповнена гумором і карколомними поворотами подій, вона не відпускатиме читача до останньої сторінки.Книжка адресована тим, хто шукає свого місця у житті, хто хоче зрозуміти і визначити своє покликання, тим, для кого є важливим правильність вибору і впевненість у завтрашньому дні.Запрошуємо у мандрівку жовтим автобусом. І нехай вона буде для вас цікавою і корисною."
443,"Будь там, де ти є (Електронна книга: PDF, mobi, epub, fb2)",Штепан Смолен,Електронні та аудіокниги,,,,200,,2021,978-966-938-452-2,Лідія Кіцила,,Є в наявності,95.00грн.,"Перед замовленням авторизуйтесяЦя книжка про мандрівку. Незаплановану, непередбачувану і від початку дивну. Юнак сідає у жовтий автобус і опиняється наодинці зі своїми розхристаними думками. Його несподіваний сусід стане для нього провідником, наведе лад у його голові і допоможе навчитися того, чого йому бракувало найбільше: постійності. Постійності думок, місця, постійності у покликанні й любові. Ця подорож розставить усе на свої місця у житті героя.Юнак перейде зі своїм супутником через піски пустелі, сахарську спеку і люті сибірські морози. Ця шалена пригода, яка стала книжкою, буде сповнена гумором і карколомними поворотами подій, вона не відпускатиме читача до останньої сторінки.Книжка адресована тим, хто шукає свого місця у житті, хто хоче зрозуміти і визначити своє покликання, тим, для кого є важливим правильність вибору і впевненість у завтрашньому дні.Запрошуємо у мандрівку жовтим автобусом. І нехай вона буде для вас цікавою і корисною."
444,Бути батьком,Юзеф Августин,Сім'я та виховання,Виховання дітей,,,384,тверда,2022,978-966-938-050-0,,150х210,Є в наявності,350.00грн.,"Ця книжка адресована чоловікам: тим, які готуються до подружнього життя; які виховують дітей; душпастирям; вихователям; синам, які хочуть зрозуміти своїх батьків, а також жінкам і дівчатам, які прагнуть зрілих стосунків в сім'ї.Юзеф Августин - монах-єзуїт, автор багатьох книжок зі сфери духовного життя та християнської педагогіки."
445,В очікуванні Різдва. Історії для затишних вечорів,Френсіс Годгсон Бернет,Для дітей,Старший шкільний вік,,,104,тверда,2019,978-966-938-346-4,,150х222,Є в наявності,180.00грн.,"Збірка дитячих повістей знайомить читачів з новими друзями – Джем, принцом Тонконіжкою, принцесою Золотоволоскою, Елізабет, Едіт, з якими вас чекають чудові мандрівки та захопливі історії.Із Джем ви помандруєте комином – так-так, у дивовижний світ за білою цеглиною, де всім орудує пан С. К. Також потрапите до королівства Стампінгем, де вважають, щобільші в людини ноги, то прекраснішою й елегантнішою вона є. Дізнаєтесь, чому Елізабет вважали святою. А насамкінець – про Едіт, яка знайшла спільну мову із крадієм.Для дітей молодшого шкільного віку."
446,"В очікуванні Різдва. Історії для затишних вечорів (Електронна книга: PDF, mobi, epub, fb2)",Френсіс Годгсон Бернет,Електронні та аудіокниги,,,,104,,2019,978-966-938-898-8,,,Є в наявності,110.00грн.,"Збірка
 дитячих повістей знайомить читачів з новими друзями – Джем, принцом 
Тонконіжкою, принцесою Золотоволоскою, Елізабет, Едіт, з якими вас 
чекають чудові мандрівки та захопливі історії.Із
 Джем ви помандруєте комином – так-так, у дивовижний світ за білою 
цеглиною, де всім орудує пан С. К. Також потрапите до королівства 
Стампінгем, де вважають, щобільші в людини ноги, то прекраснішою й 
елегантнішою вона є. Дізнаєтесь, чому Елізабет вважали святою. А 
насамкінець – про Едіт, яка знайшла спільну мову із крадієм.Для дітей молодшого шкільного віку."
447,Великдень вже близько Дітям про Великий піст і приготування до Пасхи,Барбара Ґарчинська,,,,,112,м'яка,2024,978-966-938707-3,Ірина Дух,260х200,Є в наявності,250.00грн.,"П’ятирічна Мартуся і трирічний Павлик вирушають у мандрівку. Ця мандрівка незвичайна – вона пролягає через усі дні Великого посту до свята Воскресіння Христового. Діти знайомляться з важливими християнськими поняттями, дізнаються більше про молитву, милостиню, піст, прощення, милосердя. Кожній з цим тем присвячена окрема історія – загалом їх двадцять. Усі складні слова авторка пояснює в тексті або у словничку в кінці книжки. Також після кожної розповіді є запитання і цитати зі Святого Письма, які можна обговорити з дитиною. Подорожуйте дорогою Великого посту разом із головними героями, розмовляйте з власними дітьми про непрості тайни віри, проведіть час приготувань до Пасхи натхненно!"
448,Велике розлучення,К. С. Люїс,"Віра, практичне християнство",Наша віра,,,128,тверда,2023,978-966-938-649-6,,150х205,Є в наявності,190.00грн.,"Книга відомого англійського письменника-мораліста, викладача Оксфордського коледжу, кембриджського професора, одного з «Інклінґів» (гуртка, до якого, крім К. С. Люїса, входили Дж. Р. Р. Толкієн, автор «Володаря перснів», та Ч. Вільямс, що здобув відомість своїми містико-фантастичними романами і поемами про часи короля Артура), торкається різних аспектів наших уявлень про те, що буде з нами «там», по той бік життя. Автор ділиться з читачем своїми міркуваннями: для тих, хто, живучи на землі, віддає перевагу земному, земля стає частиною пекла, а для тих, хто іще на землі вибирає небесне, земне буття стає частиною неба. Книга безумовно зацікавить шанувальників творчости Клайва Стейплза Люїса, а також усіх, хто прагне відкрити для себе духовне значення звичайних щоденних подій."
449,"Велике розлучення (Електронна книга: PDF, mobi, epub, fb2)",К. С. Люїс,Електронні та аудіокниги,,,,128,,2023,978-966-938-649-6,,,Є в наявності,95.00грн.,"Перед замовленням авторизуйтесяКнига
 відомого англійського письменника-мораліста, викладача Оксфордського 
коледжу, кембриджського професора, одного з «Інклінґів» (гуртка, до 
якого, крім К. С. Люїса, входили Дж. Р. Р. Толкієн, автор «Володаря 
перснів», та Ч. Вільямс, що здобув відомість своїми 
містико-фантастичними романами і поемами про часи короля Артура), 
торкається різних аспектів наших уявлень про те, що буде з нами «там», 
по той бік життя. Автор ділиться з читачем своїми міркуваннями: для тих,
 хто, живучи на землі, віддає перевагу земному, земля стає частиною 
пекла, а для тих, хто іще на землі вибирає небесне, земне буття стає 
частиною неба. Книга безумовно 
зацікавить шанувальників творчости Клайва Стейплза Люїса, а також усіх, 
хто прагне відкрити для себе духовне значення звичайних щоденних подій."
450,Великий канон Андрея Критського,,Богослужбові книги,Літургійні книги,,,132,м'яка,2017,978-966-561-210-0,,130х200,Є в наявності,90.00грн.,"Видання друге, виправлене."
451,"Великий канон Андрея Критського (Електронна книга: PDF, mobi, epub, fb2)",,Електронні та аудіокниги,,,,132,,2017,978-966-938-904-6,,,Є в наявності,55.00грн.,"Видання друге, виправлене."
452,Великого бажайте. 365 думок визначних постатей УГКЦ,,Духовність,"Афоризми, цитати",,,158,тверда,2018,978-966-938-282-5,,135х205,Є в наявності,150.00грн.,"У книзі зібрано 365 думок визначних постатей Української Греко-Католицької Церкви, які взято з їхніх пастирських послань, проповідей, промов, наукових праць та інших писань. Пропоновані думки вестимуть вас протягом року, стаючи прикладом для роздумів і наслідування.Для широкого кола читачів.dtkbrjuj ,f;fqnt 365 levjr dbpyfxyb[ gjcnfntq EURW? 978-966-938-282-5? fajhbpvb nf wbnfnb"
453,Великодній кошичок. Саморобка,Христина Рейнарович,Для дітей,Молодший шкільний вік,,,16,м'яка,2025,978-966-938-927-5,,200х285,Є в наявності,95.00грн.,
454,Весільний порадник,"Л. Горошко-Погорецька, о. О. Коростіль, А. Погорілко","Культура, традиції, мистецтво",Українська культура,,,124,тверда,2017,978-966-395-931-3,,150х210,Є в наявності,220.00грн.,"Готуєтесь до весілля? Не знаєте, за що взятись у першу чергу? Потребуєте поради фахівців стосовно того як все добре організувати? Тоді ця книжка саме для Вас!- Як приготуватися до Чину заручин і Таїнства вінчання;- яким чином переплітаються давнє і сучасне в обряді українського весілля;- як дати собі раду з плануванням та узгодженням усіх складових весільної забави.Ця книжка-порадник стане у пригоді всім, хто готується до незабутньої події їхнього життя!Для широкого кола читачів."
455,Весна. Страви на чотири пори року,Ольга Вербенець,"Культура, традиції, мистецтво","Здоров'я, краса, харчування",,,,тверда,2020,,,150х205,Є в наявності,290.00грн.,"Завершальна книга серії «Страви на чотири пори року»!До «Весни» увійшли салати з сезонних овочів, страви на щодень і свято, великоднє частування – найкращі перевірені паски, домашні шинки, ковбаси і наливки, які можна приготувати власноруч.«Родзинка» книги – призабуті переписи галицьких господинь, перевірені не одним поколінням гурманів.Ольга Вербенець – за освітою філолог. Кулінарією цікавиться вже понад три десятиліття. Вела кулінарні програми на Львівському телебаченні та авторські рубрики в українській пресі. У видавництві ""Свічадо"" вийшли в світ її книжки: ""Обряди і страви Святого Вечора"" (2007) та ""Великодній кошик"" (2009), у яких зібрано рецепти традиційних українських страв на два найбільші християнські свята – Різдво та Великдень. У 2016 році вийшла друком перша книга із серії ""Страви на чотири пори року"" – ""Осінь""."
456,Ви - світло світу!,,Святі і визначні постаті,Життя святих,,,196,мʼяка,2022,978-966-938-493-5,,145х200,Є в наявності,120.00грн.,"Видання відкриває читачам постаті мирян, які присвятили своє життя Богові, у час випробувань дали свідчення жертовності за прикладом Христа. Приклад цих праведників ― немов дороговказ су­часним мирянам на дорозі життя, яке стежками Божого Провидіння веде до брам Небесного Єрусалиму."
457,"Вибери радість, бо щастя не досить",Кей Ворен,Духовність,"Духовний ріст, духовна праця",,,216,м'яка,2018,,,130х200,Є в наявності,220.00грн.,"Ви ніколи не задумувалися, чому деякі люди, навіть у важкі часи, залишаються сповнені радості? Чи справді можливо жити з радістю? Авторка розказує, якою є справжня радість, як її віднайти і наповнитися нею в моменти розчарування.Кей Ворен щиро поділиться з вами цим секретом, який допоможе змінити життя."
458,Вибір змінює життя,Річі Г'юз,Духовність,"Духовний ріст, духовна праця",,,144,м'яка,2016,,,130х200,Є в наявності,150.00грн.,"Усе наше життя - це низка рішень. Щодня ми стикаємося з не одним вибором. Вибір, вибір, вибір. І кожен із них має свої наслідки, які формують плин нашого життя. На основі прикладів зі Святого Письма й життя, ми можемо вчитися з чужих рішень і їхніх наслідків, відточуючи вміння приймати найкращі з них. Можливо, ви зробили катастрофічний вибір, що призвів до жахливих наслідків. Але наш Отець - залишається Богом  попри все. Попри наші вади, провини й невдачі Бог все одно має чудовий задум для нашого життя.Автор дивним чином замислився над темою вибору, і написання цієї книжки - це також результат його вибору. Він сподівається, що наслідки такого його рішення будуть для читачів дуже позитивними."
459,Виховання без невдач,Томас Гордон,Сім'я та виховання,Виховання дітей,,,352,м'яка,2023,978-966-938-664-9,,145х200,Є в наявності,290.00грн.,"Визнаний новатор у галузі психології освіти Томас Ґордон пропонує підхід, який допоможе батькам у вихованні відповідальних і дисциплінованих дітей. Його можна використовувати не лише у стосунках батьків і дітей. Метод однаково ефективно діє і в усіх інших відносинах: вдома – між чоловіком і дружиною; на роботі – між співробітниками й керівництвом; в школі – між учнями, вчителями й дирекцією... “Книга стала бестселером. Вона допомогла змінити життя мільйонів людей і стала основою багатьох навчальних програм для батьків у США та інших країнах світу.”"
460,"Виховання без невдач (Електронна книга: PDF, mobi, epub, fb2)",Томас Гордон,Електронні та аудіокниги,,,,352,,2023,978-966-938-664-9,,,Є в наявності,125.00грн.,"Перед замовленням авторизуйтесяВизнаний новатор у галузі психології освіти Томас Ґордон пропонує 
підхід, який допоможе батькам у вихованні відповідальних і 
дисциплінованих дітей. Його можна використовувати не лише у стосунках 
батьків і дітей. Метод однаково ефективно діє і в усіх інших відносинах:
 вдома – між чоловіком і дружиною; на роботі – між співробітниками й 
керівництвом; в школі – між учнями, вчителями й дирекцією... “Книга 
стала бестселером. Вона допомогла змінити життя мільйонів людей і стала 
основою багатьох навчальних програм для батьків у США та інших країнах 
світу.”"
461,Від віри до екуменії,Ярослав Москалик,"Наукові, науково-популярні видання",Богослов'я. Філософія.,,,192,м'яка,2019,978-966-938-330-3,,146х203,Є в наявності,119.00грн.,"Одним із важливих елементів християнського життя є постійне навчання і прагнення до формування єдності з іншими. Окремі Церкви і Спільноти взаємно закликають до пошуку єдності - екуменії, яка дає змогу правильно відрізнити спільні основи віри від другорядних речей.Праця присвячена сучасному екуменічному баченню, завдяки якому все християнство значно активніше бере участь у досвіді віри, що поєднав у собі багатство різних духовних традицій.dsl dshb lj trevtys]"
462,Від страху до любови. Великопосні роздуми над притчею про блудного сина,Генрі Новен,,,,,64,м'яка,2025,978-966-938-818-6,,120х165,Є в наявності,60.00грн.,"Невелика за обсягом книжка містить у собі проповіді отця Генрі Ноуена, основою яких є всім відома притча про блудного сина. Щоб глибше зрозуміти зміст притчі, автор пропонує заглиблюватися у роздуми, споглядаючи картину Рембрандта “Повернення блудного сина”. Ці читання ідеально підходять для великопосних молитов та роздумів, коли кожен християнин прагне відкрити для себе тайну власного покликання та існування і гідно підготуватися до світлого Воскресіння Христового.о. Генрі Ноуен (1832 — 1996) — один з найвизначніших християнських письменників нашого часу. Він вміло поєднував у своїй творчості глибоке розуміння натхненного Божого слова і знання сучасної психології"
463,"Від страху до любови. Великопосні роздуми над притчею про блудного сина (Електронна книга: PDF, mobi, epub, fb2)",Генрі Новен,Електронні та аудіокниги,,,,64,,2025,978-966-938-910-7,,,Є в наявності,40.00грн.,"Невелика
 за обсягом книжка містить у собі проповіді отця Генрі Ноуена, основою 
яких є всім відома притча про блудного сина. Щоб глибше зрозуміти зміст 
притчі, автор пропонує заглиблюватися у роздуми, споглядаючи картину 
Рембрандта “Повернення блудного сина”. Ці
 читання ідеально підходять для великопосних молитов та роздумів, коли 
кожен християнин прагне відкрити для себе тайну власного покликання та 
існування і гідно підготуватися до світлого Воскресіння Христового.о.
 Генрі Ноуен (1832 — 1996) — один з найвизначніших християнських 
письменників нашого часу. Він вміло поєднував у своїй творчості глибоке 
розуміння натхненного Божого слова і знання сучасної психології"
464,"Віднайдення плідности. Путівник для подружніх пар, що мають труднощі на шляху до батьківства","Зореслава Городенчук, Ольга Окіс-Бондаренко, Галина Кришталь, Мар'яна Ісайська, Валентина Савчак",Сім'я та виховання,"Подружжя, сім'я та стосунки",,,216,м'яка,2021,978-966-938-465-2,,145х200,Є в наявності,220.00грн.,"Автори - відомі фахівці у сфері репродуктивного здоров’я - розглядають у цьому виданні різні аспекти передавання життя, зниженої плідности й неплідности, природних і штучних репродуктивних технологій. Також у книжці вміщено реальні історії жінок, які подолали проблеми із плідністю та здійснили свої мрії про материнство."
465,Відро цементу. Розмови з дітьми про євангельскі історії,Михайло Димид,"Віра, практичне християнство",Проповіді,,,176,тверда,2023,978-966-938-667-0,,205х135,Є в наявності,240.00грн.,"Що потрібно, щоби будівля була міцною? Не одне відро цементу. Для того, щоби виховати доброго християнина потрібно багато речей і проповідь є однією з них. А проповідь, адресована дітям, може стати власне тим відром цементу, який буде тримати основу особистості впродовж усього її життя.Ця книга - щирі і безпосередні проповіді до дітей, автор яких священник, доктор-богослов, батько 5-ох дітей о. Михайло Димид. Він виголошував їх під час недільних Літургій упродовж церковного року. Втім, це не класичні проповіді, а радше, розмови, в яких чутно голос не лише священника, а й слухачів-дітей: у церкві їм затишно і вільно як удома. Бо ж вони прийшли в храм до свого Небесного Татка, з яким можна поділитися всім: і своїми радощами, і хвилюваннями, і забавками. А ще можна поставити не одне запитання і не боятися, що Татко буде сваритися.Для священників, катехитів, виховників, а також для батьків, які разом із дітьми читають Боже Слово і ним живуть на щодень."
466,"Відро цементу. Розмови з дітьми про євангельскі історії (Електронна книга: PDF, mobi, epub, fb2)",Михайло Димид,Електронні та аудіокниги,,,,176,,2023,978-966-938-667-0,,,Є в наявності,120.00грн.,"Перед замовленням авторизуйтесяЩо
 потрібно, щоби будівля була міцною? Не одне відро цементу. Для того, 
щоби виховати доброго християнина потрібно багато речей і проповідь є 
однією з них. А проповідь, адресована дітям, може стати власне тим 
відром цементу, який буде тримати основу особистості впродовж усього її 
життя.Ця книга - щирі і безпосередні
 проповіді до дітей, автор яких священник, доктор-богослов, батько 5-ох 
дітей о. Михайло Димид. Він виголошував їх під час недільних Літургій 
упродовж церковного року. Втім, це 
не класичні проповіді, а радше, розмови, в яких чутно голос не лише 
священника, а й слухачів-дітей: у церкві їм затишно і вільно як удома. 
Бо ж вони прийшли в храм до свого Небесного Татка, з яким можна 
поділитися всім: і своїми радощами, і хвилюваннями, і забавками. А ще 
можна поставити не одне запитання і не боятися, що Татко буде сваритися.Для священників, катехитів, виховників, а також для батьків, які разом із дітьми читають Боже Слово і ним живуть на щодень."
